protoForm,english,partOfSpeech,notes,createdBy
sʲa,after,affix,New vocab for translation,Caleb
jamʲkʷə,recieve/get,verb,New vocab for translation,Caleb
wəsʲkʷa,complaint,noun,New vocab for translation,Caleb
mʲəppə,quality,modifier,New vocab for translation,Caleb
kʷalʷə,goods/wares,noun,New vocab for translation,Caleb
nʲəkʷalʷə,merchant/salesman,noun,New vocab for translation,Caleb
əkʷmʲa,apprentice,noun,New vocab for translation,Caleb
jatʲsʷaw,work,verb,New vocab for translation,Caleb
tʲamsʲa,hard,modifier,New vocab for translation,Caleb
kʲənʷə,feel,modifier,New vocab for translation,Caleb
mʲə,more/comparitive,affix,New vocab for translation,Caleb
əmtʷəmʲ,admiration,noun,New vocab for translation,Caleb
makʲtʷəm,statue,noun,New vocab for translation,Caleb
jətʲə,carved,verb,New vocab for translation,Caleb
məmʲmʲə,mountain,noun,New vocab for translation,Caleb
əjkʲəkʷ,shade,noun,New vocab for translation,Caleb
sʲəpʲəm,nobody,noun,New vocab for translation,Caleb
tʷatʲap,catch,verb,New vocab for translation,Caleb
tʲəmətʷ,walk,verb,New vocab for translation,Caleb
kʷalʷəkʷalʷə,warehouse,noun,New vocab for translation,Caleb
əwə,ask forgiveness,verb,New vocab for translation,Caleb
papətʷ,lips,noun,New vocab for translation,Caleb
əp,put/place,verb,New vocab for translation,Caleb
apa-apa,"""don't worry""",ideophone,New vocab for translation,Caleb
pakʷalʷə,shipment,noun,New vocab for translation,Caleb
kʷəsʲəkʲ,ingot/bar,noun,New vocab for translation,Caleb
mʲakʲətʷ,late,modifier,New vocab for translation,Caleb
