protoForm,english,partOfSpeech,notes,createdBy
malʲakʷ,bobcat,noun,Desert/Mountain Animal/Animate,Jake
əsʷsʷəw,fonio,noun,Desert/Mountain Plant/Biotic Feature,Jake
wətʲəj,bed,noun,Inanimate,Jake
kʷətʲjanʲ,garden,noun,Location,Jake
əkʲsʷə,flute,noun,Culturally-Interesting,Jake
lʲəmʲə,to give,verb,Transitive,Jake
aptʲə,to close,verb,Intransitive,Jake
pətʷpə,to pop (grain),verb,Culturally-Interesting,Jake
kʷakʷ-kʷakʷ,ribbit,ideophone,Sound/Sensory,Jake
tʲanʷ-tʲanʷ,happy; joyful,ideophone,Feeling/Emotion,Jake
ənʷakʷ,gulp; gulping,ideophone,Event,Jake
mʲakʲə-mʲakʲə,drunkenly; in an inebriated manner,ideophone,Manner,Jake
kʷətʲa,kitten; young feline,noun,,Jake
alʲəmʲ,mouse; house mouse,noun,,Jake
mətʷa,brother,noun,,Jake
amʲtʲa,girl,noun,,Jake
atʲəkʷ,frog,noun,,Jake
tʲəsʷa,to lie (posture),verb,,Jake
kʲəwkʷa,mopane worm,noun,,Jake
tʲampʲa,mopane tree,noun,,Jake
əpʲ 'oop,oop; expression of surprise or shock; a small accident,ideophone,,Jake
lʲənʲma-lʲənʲma,hot; sexy; like a new bombshell entering the villa,ideophone,,Jake
walʷwa,villa; fancy house for fancy people,noun,,Jake
awənʷ,mango,noun,,Jake
kʷatʲəj-kʷatʲəj,muddy; squelchy,ideophone,,Jake
jəjətʷ,cashew,noun,,Jake
tʲatʷakʲ,pink/Peruvian pepper,noun,,Jake
sʲamasʲ,goat,noun,,Jake
awamʲ,garter snake,noun,Desert/Mountain Animal/Animate,Miles
kʷəmʲwakʲ,sagebrush,noun,Desert/Mountain Plant/Biotic Feature,Miles
malʲtʷə,cloth; thin blanket,noun,Inanimate,Miles
lʷətʲtʲə,cave,noun,Location,Miles
sʲajpətʷ,potter’s wheel,noun,Culturally-Interesting,Miles
pʲəpʲəkʷ,to find,verb,Transitive,Miles
sʷakʷ,to run,verb,Intransitive,Miles
kʲəsʲ,to burn incense / herbs,verb,Culturally-Interesting,Miles
tʷəkʷ,slap of clay on wheel,ideophone,Sound/Sensory,Miles
lʲə-lʲə,"cutesy, naive",ideophone,Feeling/Emotion,Miles
kʲəj-kʷəw,"snoring, snoozing",ideophone,Event,Miles
pakʷ-pakʷ,"tediously, monotonously, boringly",ideophone,Manner,Miles
kʲanʷə,clay,noun,,Miles
pətʷakʷ,to sit,verb,,Miles
mʲəlʲkʷə,to search for,verb,,Miles
pʲəpʲpʲətʲ,desert shrew,noun,Desert/Mountain Animal/Animate,Jonathan
patʷatʷ,sumac,noun,Desert/Mountain Plant/Biotic Feature,Jonathan
pʲəma,copper,noun,Inanimate,Jonathan
kʷam,house,noun,Location,Jonathan
sʷanʷə,bowed string instrument,noun,Culturally-Interesting,Jonathan
pawanʲ,to pull; to drag,verb,Transitive,Jonathan
mʲənʷə,to sleep,verb,Intransitive,Jonathan
sʲəkʲ-sʲəkʲ,scrape; scratch; also for playing a sʷanʷə,ideophone,Sound/Sensory,Jonathan
sʲəkʲə-sʲəkʲə,scrape; scratch,ideophone,Feeling/Emotion,Jonathan
kʷatʷkʷə,hurried; rushed; running,ideophone,Event,Jonathan
sʷasʲə-sʷasʲə,flutter; flap; rustle; feeling nervous,ideophone,Manner,Jonathan
lʷalʷatʷ,idiophone played with mallet,noun,,Jonathan
sʲənʷa-sʷənʲa,mixy-mixy,ideophone,,Jonathan
kʲaw,person,noun,,Jonathan
lʷəmʲ,to stand,verb,,Jonathan
lʷəkʷa,to walk; to go,verb,,Jonathan
atʷə,to see; to look at,verb,,Jonathan
ətʷalʲ,to hold; to carry,verb,,Jonathan
əsʷəkʲ,to say,verb,,Jonathan
patʷ,punching sound; a big unpleasant surprise,ideophone,,Jonathan
əpwə,arm,noun,,Jonathan
atʷjə,head,noun,,Jonathan
nʲatʲwa,leg,noun,,Jonathan
akʷwamʲ,eye,noun,,Jonathan
atʲlʲətʲ,sun,noun,,Jonathan
əkʷlʲatʷ,sky,noun,,Jonathan
wapʲlʷəp,door,noun,,Jonathan
akʷmʲam,hand,noun,,Jonathan
əpʲmʲatʷ,knot,noun,,Jonathan
kʷətʷmə,mouth,noun,,Jonathan
lʲapənʷ,moon,noun,,Jonathan
akʷə,to make,noun,,Jonathan
sʲəwlʲalʷ,to take; to pick; to harvest;,verb,,Jonathan
nʲəlʷsʷaw,village; town,noun,,Jonathan
alʲsʲamʲ,sister,noun,,Jonathan
mʲalʲsʷa,to turn,verb,,Jonathan
alʲlʲə,day,noun,,Jonathan
kʷanʲəj,night,noun,,Jonathan
əlʷlʷam,to dance,verb,,Jonathan
sʷaw,to exist,verb,,Jonathan
tʷəkʲəlʲ,beetle,noun,Desert/Mountain Animal/Animate,Tethys
kʷanʲ,oil palm,noun,Desert/Mountain Plant/Biotic Feature,Tethys
əkʷəmʲ,loom,noun,Inanimate,Tethys
kʲəsʷəlʲ,river,noun,Location,Tethys
tʲətʲ,spear,noun,Culturally-Interesting,Tethys
kʷəlʷa,to stab,verb,Transitive,Tethys
sʷəmə,to breathe,verb,Intransitive,Tethys
pakʲa,scorpion,noun,Desert/Mountain Animal/Animate,Keras
jatʷtʲəkʲ,senna,noun,Desert/Mountain Plant/Biotic Feature,Keras
lʲəwətʷ,rod,noun,Inanimate,Keras
akʷ,ground; floor,noun,Location,Keras
kʷatʲə,decorative shell,noun,Culturally-Interesting,Keras
tʲəlʷa,to pierce; to bore,verb,Transitive,Keras
asʲpʲa,to fly,verb,Intransitive,Keras
pəmʲakʷ,to winnow,verb,Culturally-Interesting,Keras
kʲəma-kʷəmʲa,of itchiness; pins and needles; tingling; pricklin; paresthesia; odd discomfort; negative gut feeling,ideophone,Sound/Sensory,Keras
məkʷtʷə-məkʷtʷə,of dread; foreboding,ideophone,Feeling/Emotion,Keras
alʲtʲa-alʲtʲa,of celebration; dancing; cheering; whooping; hollering,ideophone,Event,Keras
patʷa-patʷa,of slow; ponderous motion or action,ideophone,Manner,Keras
kʷatʲkʲə-kʲatʷkʷə,of dizziness; haziness; loss of balance; unsteadiness; uncertainty,ideophone,,Keras
lʷatʷ,of sudden thudding (e.g. after a fall); thwacking; smacking,ideophone,,Keras
ətʲəp,finger-ring,noun,,Keras
jəmkʲa,raw; unrefined; crude,modifier,,Keras
sʷamʲmʲatʲ,lungfish,noun,,Keras
kʲəmʲ,two,modifier,,Keras
tʲəpə,finger-ring,noun,,Keras
əsʷətʷ,yoke,noun,,Keras
tʷətʲjə,sack,noun,,Keras
tʲəkʷkʲa,to strike; to hit; to beat;,verb,,Keras
lʲətʲtʲə,to shout,verb,,Keras
atʲa,to do; to perform an action,verb,,Keras
tʷəpkʲa,to eat; to drink; to ingest,verb,,Keras
kʲətʷtʲə,sandfox,noun,Desert/Mountain Animal/Animate,Caleb
kʷanʲəm,date palm,noun,Desert/Mountain Plant/Biotic Feature,Caleb
ajmə,drop spindle,noun,Inanimate,Caleb
əmʲkʲə,jali (stone lattice screen),noun,Location,Caleb
jəkʲə,hackle/heckle comb,noun,Culturally-Interesting,Caleb
awsʷasʲ,water plants,verb,Transitive,Caleb
mʲənʲə,cry (sad),verb,Intransitive,Caleb
jəkʲəkʷ,hackle/hecking fibres for spinning,verb,Culturally-Interesting,Caleb
sʲəwə-sʲəwə,the whistling sound of the evening wind through the jali,ideophone,Sound/Sensory,Caleb
tʲəm-tʲəm,the calm you feel from performing mindless repetitive tasks like spinning,ideophone,Feeling/Emotion,Caleb
kʲəj-kʲəj,a baby bird’s first song,ideophone,Event,Caleb
jəkʷa-jəkʷa,as quick as possible; without care,ideophone,Manner,Caleb
sʲəmja,lentils,noun,,Caleb
kʷəpʲənʲ,cricket (insect),noun,Desert/Mountain Animal/Animate,Tinguish
lʷakʷa,cycad,noun,Desert/Mountain Plant/Biotic Feature,Tinguish
tʲəmtʲəw,firewood,noun,Inanimate,Tinguish
mʲasʷakʷ,cemetary; graveyard,noun,Location,Tinguish
sʲalʲmaj,grain flour,noun,Culturally-Interesting,Tinguish
wawanʲ,hug; embrace,verb,Transitive,Tinguish
sʷatʲə,to trip; to fall,verb,Intransitive,Tinguish
pənʲətʷ,to tattoo,verb,Culturally-Interesting,Tinguish
pəlʷpəm,sound of rain inside a building,ideophone,Sound/Sensory,Tinguish
masʷ-masʷ,morose; sulking,ideophone,Feeling/Emotion,Tinguish
jasʲ-jasʲ,lizard tail dropping off; a surprising or unexpected event,ideophone,Event,Tinguish
pʲakʷ-pʲakʷ,arrogantly; confidently,ideophone,Manner,Tinguish
palʷəj,quail; buttonquail; plains-wanderer,noun,Desert/Mountain Animal/Animate,Magpie
mamʲətʷ,acacia tree; mulga tree,noun,Desert/Mountain Plant/Biotic Feature,Magpie
nʷakʷasʷ,egg,noun,Inanimate,Magpie
lʲətʷnʷətʷ,grove; cluster of trees,noun,Location,Magpie
tʷənʷ,to put; to place,verb,Transitive,Magpie
nʲasʷə,to grow; to age; to ripen;,verb,Intransitive,Magpie
ətʲəkʷ,to chew sweet tree gum,verb,Culturally-Interesting,Magpie
tʲakʷ-tʲakʷ,something hard cracking or breaking,ideophone,Sound/Sensory,Magpie
sʲəsʲ-sʲəsʲ,slithering; snake-like in motion,ideophone,Manner,Magpie
kʷətʲə,bird of prey; raptor; hawk; eagle; kestrel; harrier,noun,,Magpie
mʲasʲlʲa,small parrot; cockatoo; cockatiel; budgerigar; lorikeet,noun,,Magpie
mʲawtʲatʷ,monitor lizard; goanna; large carnivorous lizard,noun,,Magpie
ammətʲ,strong,modifier,,Jake
nʲaj,this,modifier,,Jake
kʷəlʲa,handsome; pretty,modifier,,Jake
tʲakʲa,big,modifier,,Jake
wakʲakʲ,hot (temperature),modifier,,Jake
sʲamam,true,modifier,,Jake
amlʷa,sour,modifier,,Jake
kʷasʲsʲa,bland,modifier,,Jake
lʲəkʷ,wet,modifier,,Jake
wəkʷə,high,modifier,,Jake
nʲakʲa,short,modifier,,Jake
tʷawaj,turgid; swollen,modifier,,Jake
jalʲtʲə,strange; foreign,modifier,,Jake
məməsʲ,soft,modifier,,Miles
əlʲətʷ,fresh,modifier,,Miles
kʷajə,easy,modifier,,Miles
sʲəsʷsʷə,quiet,modifier,,Miles
lʲətʲakʷ,hungry,modifier,,Miles
tʲəkʷətʲ,clear,modifier,,Miles
wammʲətʷ,stinky,modifier,,Miles
kʷəkʲ,wild,modifier,,Miles
anʲkʲətʲ,dirty,modifier,,Miles
mamakʲ,fast,modifier,,Miles
sʲakʷpa,brave,modifier,,Miles
kʲəsʲsʲəj,sharp,modifier,,Miles
anʷnʷam,weak,modifier,,Jonathan
pəjjəkʷ,that,modifier,,Keras
sʷanʷənʲ,ugly,modifier,,Jonathan
malʷa,small,modifier,,Magpie
mamʲaw,cold,modifier,,Caleb
mətʷə,false,modifier,,Jonathan
tʲəmsʲəkʲ,sweet,modifier,,Keras
tʷəwwənʷ,tasty,modifier,,The Autonomous Spirit of Google so-called Docs
kʷəsʲsʲa,dry,modifier,,Keras
pəlʲwa,low,modifier,,Keras
kʷətʷnʲə,tall,modifier,,Magpie
mawə,flaccid; droopy,modifier,,Caleb
əkʷmə,familiar,modifier,,Keras
jakʲkʲa,hard; firm,modifier,,Keras
