malʲakʷ           => maraku
əsʷsʷəw           => ususu
wətʲəj            => witi
kʷətʲjanʲ         => kʷatʲani
əkʲsʷə            => ikisʷi
lʲəmʲə            => limi
aptʲə             => apati
pətʷpə            => putupu
kʷakʷ-kʷakʷ       => kʷaku-waku
tʲanʷ-tʲanʷ       => tʲanu-janu
ənʷakʷ            => anʷaku
mʲakʲə-mʲakʲə     => mʲaki-jaki
kʷətʲa            => kʷatʲa
alʲəmʲ            => alimi
mətʷa             => matʷa
amʲtʲa            => amitʲa
atʲəkʷ            => atiku
tʲəsʷa            => tisʷa
kʲəwkʷa           => kikʷa
tʲampʲa           => tʲamapʲa
əpʲ 'oop          => ipi-'aooapa
lʲənʲma-lʲənʲma   => linima-inima
walʷwa            => wara
awənʷ             => awanu
kʷatʲəj-kʷatʲəj   => kʷati-wati
jəjətʷ            => itu
tʲatʷakʲ          => tʲatʷaki
sʲamasʲ           => ʃamaʃi
awamʲ             => awami
kʷəmʲwakʲ         => kʷamʷaki
malʲtʷə           => malitʷi
lʷətʲtʲə          => rititi
sʲajpətʷ          => ʃapitu
pʲəpʲəkʷ          => pipiku
sʷakʷ             => sʷaku
kʲəsʲ             => kiʃi
tʷəkʷ             => tuku
lʲə-lʲə           => li-i
kʲəj-kʷəw         => ki-wu
pakʷ-pakʷ         => paku-paku
kʲanʷə            => kʲanʷa
pətʷakʷ           => patʷaku
mʲəlʲkʷə          => milikʷi
pʲəpʲpʲətʲ        => pipipiti
patʷatʷ           => patʷatu
pʲəma             => pima
kʷam              => kʷama
sʷanʷə            => sʷanʷa
pawanʲ            => pawani
mʲənʷə            => minʷi
sʲəkʲ-sʲəkʲ       => ʃiki-iki
sʲəkʲə-sʲəkʲə     => ʃiki-iki
kʷatʷkʷə          => kʷatuku
sʷasʲə-sʷasʲə     => sʷaʃi-waʃi
lʷalʷatʷ          => raratu
sʲənʷa-sʷənʲa     => ʃinʷa-wanʲa
kʲaw              => kʲa
lʷəmʲ             => rimi
lʷəkʷa            => rakʷa
atʷə              => atʷa
ətʷalʲ            => atʷali
əsʷəkʲ            => asʷiki
patʷ              => patu
əpwə              => apʷa
atʷjə             => atʷa
nʲatʲwa           => nʲatʷa
akʷwamʲ           => akʷami
atʲlʲətʲ          => atiliti
əkʷlʲatʷ          => ukuratu
wapʲlʷəp          => wapiripi
akʷmʲam           => akumʲama
əpʲmʲatʷ          => ipimʲatu
kʷətʷmə           => kutumu
lʲapənʷ           => rapanu
akʷə              => akʷa
sʲəwlʲalʷ         => ʃiralu
nʲəlʷsʷaw         => nilusʷa
alʲsʲamʲ          => aliʃami
mʲalʲsʷa          => mʲalisʷa
alʲlʲə            => alili
kʷanʲəj           => kʷani
əlʷlʷam           => ulurama
sʷaw              => sʷa
tʷəkʲəlʲ          => tʷikili
kʷanʲ             => kʷani
əkʷəmʲ            => akʷimi
kʲəsʷəlʲ          => kisʷili
tʲətʲ             => titi
kʷəlʷa            => kʷara
sʷəmə             => sʷama
pakʲa             => pakʲa
jatʷtʲəkʲ         => jatutiki
lʲəwətʷ           => liwitu
akʷ               => aku
kʷatʲə            => kʷati
tʲəlʷa            => tira
asʲpʲa            => aʃipʲa
pəmʲakʷ           => pamʲaku
kʲəma-kʷəmʲa      => kima-wamʲa
məkʷtʷə-məkʷtʷə   => mukutu-mukutu
alʲtʲa-alʲtʲa     => alitʲa-alitʲa
patʷa-patʷa       => patʷa-patʷa
kʷatʲkʲə-kʲatʷkʷə => kʷatiki-jatuku
lʷatʷ             => ratu
ətʲəp             => itipi
jəmkʲa            => imikʲa
sʷamʲmʲatʲ        => sʷamimʲati
kʲəmʲ             => kimi
tʲəpə             => tipi
əsʷətʷ            => asutu
tʷətʲjə           => tʷiti
tʲəkʷkʲa          => tikukʲa
lʲətʲtʲə          => lititi
atʲa              => atʲa
tʷəpkʲa           => tʷapakʲa
